game_id,player_id,minutes_played,points,assists,rebounds
19,9,3,-1,1,0
19,10,14,2,0,2
19,11,12,1,1,1
19,12,18,6,1,1
19,13,4,2,1,2
19,14,10,2,1,2
19,15,3,2,1,1
20,1,36,19,6,11
20,2,34,18,7,10
20,3,30,8,1,4
20,4,26,5,1,2
20,5,24,7,2,3
20,6,10,4,0,3
20,7,3,0,0,0
20,8,18,3,1,2
20,9,14,3,0,3
20,10,8,1,1,0
20,11,6,3,0,1
20,12,4,0,0,0
20,13,16,2,0,3
20,14,12,4,0,1
20,15,3,0,0,1
21,1,36,18,7,8
21,2,34,24,7,6
21,3,30,11,2,3
21,4,26,8,1,4
21,5,24,6,1,2
21,6,14,2,0,3
21,7,3,2,0,1
21,8,12,1,0,3
21,9,10,1,0,2
21,10,3,2,0,1
21,11,16,4,1,1
21,12,6,3,1,1
21,13,18,7,1,2
21,14,8,1,0,1
21,15,4,0,0,2
22,1,36,18,5,7
22,2,34,22,8,8
22,3,30,7,1,3
22,4,26,9,2,2
22,5,24,9,2,2
22,6,8,2,0,0
22,7,18,3,0,3
22,8,12,4,1,3
22,9,4,2,0,0
22,10,3,-1,0,0
22,11,16,4,1,1
22,12,3,2,0,1
22,13,10,2,1,3
22,14,6,1,1,1
22,15,14,4,0,1
23,1,36,24,8,11
23,2,34,19,7,7
23,3,30,11,2,4
23,4,26,6,1,4
23,5,24,6,2,4
23,6,12,3,1,1
23,7,16,5,1,1
23,8,10,4,1,3
23,9,6,2,1,0
23,10,4,2,0,0
23,11,18,6,1,1
23,12,3,-1,1,2
23,13,8,0,1,2
23,14,3,2,1,1
23,15,14,5,0,1
24,1,36,19,5,9
24,2,34,24,6,7
24,3,30,8,1,3
24,4,26,6,1,3
24,5,24,5,1,3
24,6,3,2,0,1
24,7,16,4,1,1
24,8,14,5,1,3
24,9,3,0,1,0
24,10,4,0,0,0
24,11,10,3,0,1
24,12,6,0,1,2
24,13,8,2,1,0
24,14,12,3,0,2
24,15,18,5,0,3
25,1,36,22,8,10
25,2,34,20,5,6
25,3,30,9,2,4
25,4,26,7,2,3
25,5,24,5,2,3
25,6,3,1,1,0
25,7,6,2,0,2
25,8,4,2,1,2
25,9,16,2,0,3
25,10,8,0,1,0
25,11,14,5,0,3
25,12,12,1,0,2
25,13,10,1,1,1
25,14,18,5,0,1
25,15,3,2,1,0
26,1,36,26,6,10
26,2,34,17,5,7
26,3,30,8,2,4
26,4,26,7,1,3
26,5,24,8,1,3
26,6,16,5,0,1
26,7,8,1,1,1
26,8,18,7,0,1
26,9,3,0,1,2
26,10,14,3,0,1
26,11,6,1,0,0
26,12,10,3,1,1
26,13,12,4,0,2
26,14,4,3,1,2
26,15,3,0,1,0
27,1,36,25,7,8
27,2,34,20,6,6
27,3,30,10,2,4
27,4,26,5,1,3
27,5,24,7,2,3
27,6,14,5,1,3
27,7,6,0,1,1
27,8,10,3,0,1
27,9,12,2,1,2
27,10,3,0,0,0
27,11,16,4,0,2
27,12,8,3,0,2
27,13,4,0,0,1
27,14,18,4,0,2
27,15,3,1,1,1
28,1,36,21,7,11
28,2,34,24,7,7
28,3,30,11,1,4
28,4,26,6,2,4
28,5,24,8,1,2
28,6,12,1,1,3
28,7,14,6,0,2
28,8,3,2,1,1
28,9,18,3,0,2
28,10,10,1,0,3
28,11,8,1,1,0
28,12,6,3,0,0
28,13,4,3,1,0
28,14,3,0,1,1
28,15,16,3,1,3
29,1,36,26,8,7
29,2,34,22,8,10
29,3,30,9,2,3
29,4,26,5,2,4
29,5,24,9,1,3
29,6,6,3,0,0
29,7,16,3,0,3
29,8,10,1,1,1
29,9,4,3,1,0
29,10,8,2,1,1
29,11,18,3,1,1
29,12,14,4,1,1
29,13,12,1,1,2
29,14,3,-1,0,0
29,15,3,0,0,0
30,1,36,19,8,8
30,2,34,24,5,7
30,3,30,9,1,5
30,4,26,7,1,2
30,5,24,8,2,2
30,6,10,1,1,2
30,7,12,4,0,3
30,8,18,4,0,1
30,9,3,0,1,1
30,10,8,4,1,1
30,11,4,3,0,0
30,12,14,4,1,1
30,13,6,0,1,2
30,14,3,0,0,2
30,15,16,5,0,1
31,1,36,23,6,8
31,2,34,23,7,7
31,3,30,7,2,4
31,4,26,5,2,3
31,5,24,9,2,3
31,6,16,5,0,3
31,7,8,4,1,2
31,8,3,2,1,1
31,9,18,6,1,1
31,10,12,3,0,1
31,11,4,3,1,2
31,12,6,1,1,1
31,13,14,3,1,2
31,14,10,5,0,1
31,15,3,1,0,2
32,1,36,22,6,9
32,2,34,20,5,10
32,3,30,8,2,5
32,4,26,5,2,2
32,5,24,9,2,3
32,6,4,0,1,1
32,7,3,0,0,2
32,8,3,2,0,2
32,9,16,6,0,1
32,10,10,2,0,2
32,11,14,4,1,3
32,12,12,3,0,3
32,13,6,1,1,0
32,14,8,3,1,2
32,15,18,6,0,3
33,1,36,19,7,11
33,2,34,20,6,10
33,3,30,9,1,3
33,4,26,5,2,3
33,5,24,6,1,2
33,6,14,4,0,2
33,7,18,6,1,3
33,8,3,0,1,1
33,9,10,4,1,3
33,10,4,3,1,2
33,11,16,3,0,2
33,12,6,3,1,1
33,13,3,1,0,2
33,14,8,3,1,1
33,15,12,2,0,2
34,1,36,21,7,10
34,2,34,25,8,8
34,3,30,8,1,3
34,4,26,5,1,3
34,5,24,6,1,4
34,6,12,5,0,3
34,7,10,2,0,2
34,8,18,6,1,2
34,9,14,4,0,3
34,10,3,2,0,0
34,11,8,2,1,0
34,12,3,1,1,1
34,13,4,0,0,0
34,14,6,3,0,2
34,15,16,6,0,2
35,1,36,18,6,11
35,2,34,22,7,10
35,3,30,11,2,4
35,4,26,5,1,2
35,5,24,5,2,2
35,6,8,0,1,0
35,7,3,0,1,0
35,8,10,3,0,3
35,9,4,1,0,1
35,10,6,2,0,0
35,11,16,5,0,2
35,12,12,5,1,3
35,13,14,5,1,3
35,14,18,5,0,1
35,15,3,0,0,0
36,1,36,23,6,7
36,2,34,22,6,9
36,3,30,9,1,3
36,4,26,8,2,2
36,5,24,5,1,3
36,6,12,5,1,1
36,7,4,1,0,0
36,8,10,4,0,2
36,9,3,1,0,1
36,10,3,2,0,2
36,11,16,2,1,3
36,12,14,6,0,1
36,13,8,0,1,2
36,14,18,4,0,1
36,15,6,2,0,2
37,1,36,25,8,11
37,2,34,20,8,9
37,3,30,10,2,3
37,4,26,7,1,2
37,5,24,7,2,3
37,6,18,5,0,2
37,7,12,3,0,3
37,8,8,4,0,2
37,9,4,3,1,0
37,10,10,3,0,1
37,11,16,6,1,1
37,12,6,1,0,0
37,13,3,2,1,1
37,14,14,4,1,3
37,15,3,-1,1,2
38,1,36,22,8,8
38,2,34,19,5,7
38,3,30,8,2,4
38,4,26,7,1,2
38,5,24,9,2,2
38,6,3,-1,1,2
38,7,8,3,0,2
38,8,10,1,1,2
38,9,14,2,0,3
38,10,16,6,0,1
38,11,18,5,1,3
38,12,12,4,1,3
38,13,6,2,0,2
38,14,4,3,0,2
38,15,3,0,0,0
39,1,36,25,7,7
39,2,34,24,5,7
39,3,30,10,2,4
39,4,26,8,2,4
39,5,24,7,2,3
39,6,8,3,1,0
39,7,4,3,0,0
39,8,16,2,1,2
39,9,10,3,0,3
39,10,14,5,0,3
39,11,18,4,0,3
39,12,3,2,1,1
39,13,3,1,1,1
39,14,12,5,1,3
39,15,6,0,0,0
40,1,36,25,8,9
40,2,34,17,6,9
40,3,30,10,1,4
40,4,26,8,2,2
40,5,24,8,2,4
40,6,8,0,1,1
40,7,12,3,1,2
40,8,18,3,1,1
40,9,3,2,1,2
40,10,16,6,0,1
40,11,3,1,1,2
40,12,4,2,0,2
40,13,6,3,1,0
40,14,14,5,0,1
40,15,10,4,1,1
41,1,36,19,8,11
41,2,34,19,7,6
41,3,30,8,2,3
41,4,26,5,2,2
41,5,24,7,2,3
41,6,3,2,1,2
41,7,14,2,0,2
41,8,12,5,1,3
41,9,8,3,1,2
41,10,3,-1,1,0
41,11,6,0,0,0
41,12,4,2,1,1
41,13,10,4,1,3
41,14,16,6,1,2
41,15,18,6,0,3
42,1,36,23,7,9
42,2,34,17,8,8
42,3,30,9,1,4
42,4,26,7,1,4
42,5,24,5,1,2
42,6,3,0,1,1
42,7,10,1,0,2
42,8,16,4,1,3
42,9,6,0,0,1
42,10,18,4,1,3
42,11,8,2,0,0
42,12,14,2,0,2
42,13,3,1,1,2
42,14,4,0,1,0
42,15,12,5,0,3
43,1,36,18,8,11
43,2,34,20,7,10
43,3,30,8,2,3
43,4,26,9,1,3
43,5,24,7,2,3
43,6,3,1,1,1
43,7,4,1,0,1
43,8,16,2,1,2
43,9,8,2,0,0
43,10,10,3,1,3
43,11,18,3,0,1
43,12,3,2,1,2
43,13,12,5,1,2
43,14,6,0,1,0
43,15,14,4,0,2
44,1,36,21,5,11
44,2,34,20,5,10
44,3,30,10,2,3
44,4,26,5,2,3
44,5,24,9,1,2
44,6,4,3,0,2
44,7,12,3,1,2
44,8,3,1,1,1
44,9,8,2,0,1
44,10,10,4,0,2
44,11,18,3,1,2
44,12,14,3,0,1
44,13,16,5,1,1
44,14,3,0,1,0
44,15,6,2,1,0
45,1,36,18,8,7
45,2,34,17,5,9
45,3,30,10,1,4
45,4,26,9,2,3
45,5,24,8,2,4
45,6,18,3,0,3
45,7,6,0,0,1
45,8,16,3,0,2
45,9,3,0,1,1
45,10,8,3,1,2
45,11,12,2,1,1
45,12,3,2,0,2
45,13,10,3,0,3
45,14,4,0,1,0
45,15,14,5,1,2
46,1,36,26,8,8
46,2,34,23,8,7
46,3,30,8,2,5
46,4,26,6,1,3
46,5,24,7,1,2
46,6,4,3,1,0
46,7,12,1,1,3
46,8,3,2,1,0
46,9,6,0,0,1
46,10,18,7,1,3
46,11,16,2,1,2
46,12,14,3,1,2
46,13,3,0,0,0
46,14,10,2,0,1
46,15,8,0,1,0
47,1,36,26,7,10
47,2,34,21,7,10
47,3,30,10,1,4
47,4,26,7,2,3
47,5,24,5,2,4
47,6,4,3,1,2
47,7,18,5,0,2
47,8,6,3,0,1
47,9,3,-1,0,2
47,10,12,5,1,2
47,11,16,3,1,1
47,12,14,6,0,1
47,13,8,2,0,2
47,14,3,1,1,1
47,15,10,3,1,2
48,1,36,20,7,8
48,2,34,23,7,10
48,3,30,10,1,5
48,4,26,8,1,2
48,5,24,6,1,2
48,6,12,1,0,2
48,7,4,0,0,2
48,8,10,1,0,2
48,9,18,5,0,3
48,10,8,0,1,0
48,11,16,6,1,2
48,12,14,2,0,1
48,13,3,-1,0,0
48,14,3,0,0,1
48,15,6,3,1,1
49,1,36,26,8,9
49,2,34,23,7,8
49,3,30,10,2,3
49,4,26,8,1,4
49,5,24,7,1,4
49,6,8,4,1,1
49,7,4,1,0,1
49,8,12,1,1,2
49,9,10,5,0,1
49,10,3,2,0,2
49,11,6,3,1,0
49,12,16,2,1,3
49,13,18,3,0,3
49,14,3,1,0,0
49,15,14,4,1,3
50,1,36,19,8,11
50,2,34,17,8,7
50,3,30,7,1,4
50,4,26,7,1,3
50,5,24,8,1,3
50,6,12,5,1,2
50,7,16,5,0,1
50,8,4,3,1,1
50,9,3,1,0,1
50,10,10,4,1,1
50,11,6,1,1,2
50,12,3,0,0,1
50,13,18,3,0,2
50,14,8,4,1,0
50,15,14,4,0,3
