sale_id,product_name,player_name,quantity,price,revenue,sale_date
45,Hoodie,Player_5,42,96,4032,10/25/2024
46,Hat,Player_3,4,123,492,12/24/2024
47,Hat,Player_6,47,26,1222,12/23/2024
48,Hoodie,Player_8,17,127,2159,11/21/2024
49,Jersey,Player_7,38,68,2584,11/13/2024
50,Hat,Player_12,44,141,6204,1/25/2025
51,Hoodie,Player_11,33,96,3168,1/17/2025
52,Hat,Player_3,19,44,836,11/30/2024
53,Hoodie,Player_3,47,66,3102,12/27/2024
54,Hoodie,Player_15,42,42,1764,10/29/2024
55,Hat,Player_6,48,98,4704,11/23/2024
56,Hoodie,Player_13,24,86,2064,12/14/2024
57,Poster,Player_5,8,140,1120,10/7/2024
58,Jersey,Player_14,31,69,2139,12/4/2024
59,Poster,Player_2,34,96,3264,11/22/2024
60,Hat,Player_1,9,71,639,11/13/2024
61,Poster,Player_7,10,100,1000,1/19/2025
62,Hat,Player_12,50,40,2000,12/2/2024
63,Hat,Player_6,21,34,714,10/1/2024
64,Hoodie,Player_8,14,63,882,12/13/2024
65,Hat,Player_13,32,42,1344,10/17/2024
66,Poster,Player_10,41,129,5289,11/21/2024
67,Poster,Player_7,25,21,525,10/5/2024
68,Hat,Player_9,47,115,5405,10/2/2024
69,Hoodie,Player_15,49,68,3332,10/3/2024
70,Jersey,Player_11,41,83,3403,10/29/2024
71,Hoodie,Player_12,20,53,1060,10/14/2024
72,Hoodie,Player_7,11,36,396,1/14/2025
73,Hoodie,Player_1,19,136,2584,1/2/2025
74,Hoodie,Player_9,28,54,1512,11/13/2024
75,Poster,Player_15,23,68,1564,10/22/2024
76,Poster,Player_15,2,78,156,10/29/2024
77,Hat,Player_12,14,25,350,12/15/2024
78,Hat,Player_9,8,113,904,12/31/2024
79,Jersey,Player_11,25,85,2125,1/7/2025
80,Jersey,Player_9,39,32,1248,12/24/2024
81,Jersey,Player_2,4,49,196,11/23/2024
82,Poster,Player_8,8,84,672,11/30/2024
83,Hat,Player_12,14,22,308,11/8/2024
84,Jersey,Player_7,43,89,3827,12/19/2024
85,Hat,Player_10,27,46,1242,12/5/2024
86,Jersey,Player_12,19,49,931,1/9/2025
87,Poster,Player_2,13,71,923,1/8/2025
88,Hat,Player_5,23,124,2852,11/7/2024
89,Jersey,Player_3,36,147,5292,1/25/2025
90,Poster,Player_4,22,80,1760,10/1/2024
91,Jersey,Player_1,8,146,1168,10/20/2024
92,Jersey,Player_2,47,45,2115,1/24/2025
93,Hat,Player_5,30,95,2850,11/3/2024
94,Jersey,Player_8,7,64,448,1/20/2025
95,Hoodie,Player_1,24,100,2400,11/24/2024
96,Jersey,Player_12,7,31,217,10/2/2024
97,Hat,Player_14,43,63,2709,11/12/2024
98,Poster,Player_6,40,88,3520,1/21/2025
99,Jersey,Player_12,24,107,2568,10/24/2024
100,Poster,Player_2,26,136,3536,11/4/2024
101,Poster,Player_14,45,142,6390,1/11/2025
102,Hat,Player_7,8,53,424,12/29/2024
103,Jersey,Player_12,11,46,506,11/23/2024
104,Poster,Player_15,37,132,4884,10/24/2024
105,Poster,Player_10,50,111,5550,12/18/2024
106,Hat,Player_1,31,144,4464,10/15/2024
107,Poster,Player_15,29,31,899,10/9/2024
108,Hoodie,Player_5,1,77,77,12/25/2024
109,Hoodie,Player_14,34,44,1496,11/25/2024
110,Hat,Player_11,31,108,3348,12/24/2024
111,Poster,Player_11,10,33,330,10/2/2024
112,Hat,Player_11,33,140,4620,1/18/2025
113,Hat,Player_8,5,145,725,11/11/2024
114,Hoodie,Player_4,18,32,576,12/4/2024
115,Poster,Player_4,26,80,2080,10/11/2024
116,Poster,Player_8,37,134,4958,10/12/2024
117,Poster,Player_14,29,100,2900,10/16/2024
118,Jersey,Player_8,7,123,861,11/22/2024
119,Jersey,Player_1,6,97,582,1/22/2025
120,Hat,Player_9,42,136,5712,11/13/2024
121,Jersey,Player_6,15,136,2040,11/12/2024
122,Poster,Player_9,46,113,5198,12/31/2024
123,Jersey,Player_8,7,76,532,10/1/2024
124,Hoodie,Player_6,41,94,3854,12/10/2024
125,Hoodie,Player_9,45,47,2115,10/6/2024
126,Hat,Player_15,32,55,1760,1/14/2025
127,Poster,Player_12,7,85,595,12/18/2024
128,Hat,Player_4,8,120,960,10/28/2024
129,Hat,Player_8,46,106,4876,10/14/2024
130,Poster,Player_13,3,51,153,1/7/2025
131,Poster,Player_15,30,149,4470,10/18/2024
132,Jersey,Player_8,34,32,1088,12/10/2024
133,Poster,Player_15,38,143,5434,1/27/2025
134,Hat,Player_9,45,64,2880,1/2/2025
135,Hat,Player_14,7,119,833,12/24/2024
136,Hoodie,Player_10,33,118,3894,11/23/2024
137,Hat,Player_10,18,121,2178,11/13/2024
138,Poster,Player_5,9,55,495,11/22/2024
139,Hoodie,Player_10,45,100,4500,12/31/2024
140,Hat,Player_12,13,73,949,12/19/2024
141,Hoodie,Player_12,44,108,4752,1/26/2025
142,Hat,Player_11,46,65,2990,12/4/2024
143,Hoodie,Player_9,46,49,2254,1/6/2025
144,Poster,Player_6,38,126,4788,12/26/2024
145,Hoodie,Player_12,28,23,644,12/6/2024
146,Jersey,Player_2,25,57,1425,10/7/2024
147,Jersey,Player_11,13,88,1144,1/5/2025
148,Hat,Player_13,19,84,1596,10/19/2024
149,Jersey,Player_14,45,95,4275,10/27/2024
150,Jersey,Player_13,23,135,3105,10/14/2024
151,Hat,Player_10,48,119,5712,10/31/2024
152,Hoodie,Player_9,45,32,1440,1/27/2025
153,Poster,Player_7,27,100,2700,12/10/2024
154,Jersey,Player_1,48,84,4032,10/26/2024
155,Poster,Player_10,15,114,1710,1/5/2025
156,Hat,Player_10,50,69,3450,11/7/2024
157,Hat,Player_8,44,39,1716,10/24/2024
158,Jersey,Player_3,25,30,750,11/24/2024
159,Hoodie,Player_5,9,61,549,12/14/2024
160,Hoodie,Player_14,1,104,104,11/29/2024
161,Hat,Player_12,3,59,177,1/27/2025
162,Jersey,Player_6,50,97,4850,12/2/2024
163,Hoodie,Player_13,5,101,505,12/7/2024
164,Hat,Player_4,34,37,1258,1/9/2025
165,Hat,Player_9,27,123,3321,10/12/2024
166,Hat,Player_6,14,104,1456,11/12/2024
167,Hoodie,Player_6,14,141,1974,12/11/2024
168,Jersey,Player_14,8,108,864,11/27/2024
169,Hat,Player_4,3,102,306,11/18/2024
170,Jersey,Player_15,25,85,2125,12/9/2024
171,Hoodie,Player_12,2,115,230,12/5/2024
172,Poster,Player_13,32,31,992,11/7/2024
173,Hat,Player_15,21,41,861,10/13/2024
174,Jersey,Player_3,41,36,1476,10/27/2024
175,Hat,Player_11,44,128,5632,1/15/2025
176,Hat,Player_2,35,131,4585,12/22/2024
177,Jersey,Player_14,48,59,2832,10/4/2024
178,Hoodie,Player_8,3,42,126,10/10/2024
179,Hat,Player_1,17,38,646,12/13/2024
180,Hat,Player_14,17,124,2108,11/19/2024
181,Poster,Player_8,28,100,2800,10/3/2024
182,Jersey,Player_7,35,21,735,12/22/2024
183,Jersey,Player_12,49,31,1519,12/29/2024
184,Jersey,Player_14,23,148,3404,10/14/2024
185,Hoodie,Player_5,39,42,1638,11/6/2024
186,Poster,Player_13,25,121,3025,1/14/2025
187,Jersey,Player_11,31,60,1860,12/8/2024
188,Hat,Player_4,48,120,5760,1/10/2025
189,Hoodie,Player_13,41,56,2296,11/8/2024
190,Hoodie,Player_11,1,56,56,10/16/2024
191,Jersey,Player_1,37,120,4440,12/8/2024
192,Jersey,Player_9,20,73,1460,1/4/2025
193,Hoodie,Player_12,14,125,1750,1/24/2025
194,Hat,Player_11,11,67,737,10/29/2024
195,Hoodie,Player_10,13,49,637,10/24/2024
196,Jersey,Player_11,49,138,6762,12/22/2024
197,Jersey,Player_9,19,37,703,11/2/2024
198,Hat,Player_2,47,144,6768,11/12/2024
199,Hat,Player_6,43,80,3440,10/13/2024
200,Jersey,Player_5,13,101,1313,12/2/2024
